stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
SF060,0316,"MERIVALE / AD. 1642",,  45.345812, -75.730409,,,0
SF065,7408,"BASIL MACDONALD / GRANT CARMAN",,  45.347091, -75.727901,,,0
SF080,4027,"CHESTERTON / MEADOWLANDS",,  45.353265, -75.729438,,,0
SF090,4053,"CHESTERTON / MULVAGH",,  45.352758, -75.729036,,,0
SF100,3645,"CHESTERTON / MULVAGH",,  45.352567, -75.728733,,,0
SF110,6132,"CHESTERTON / SOUTHVIEW",,  45.352026, -75.727196,,,0
SF120,6134,"CHESTERTON / SOUTHVIEW",,  45.351909, -75.727185,,,0
SF130,6135,"CHESTERTON / HILLHURST",,  45.352069, -75.725511,,,0
SF140,6133,"CHESTERTON / WOODMOUNT",,  45.352281, -75.725048,,,0
SF150,4025,"CHESTERTON / BOWHILL",,  45.352151, -75.721681,,,0
SF160,6136,"CHESTERTON / BOWHILL",,  45.352161, -75.721949,,,0
SF170,6137,"CHESTERTON / ASSINIBOINE",,  45.351195, -75.720162,,,0
SF180,4055,"CHESTERTON / ASSINIBOINE",,  45.351043, -75.720266,,,0
SF190,6000,"CHESTERTON / JUNIPER",,  45.350057, -75.718110,,,0
SF200,6002,"CHESTERTON / JUNIPER",,  45.350049, -75.718391,,,0
SF210,6001,"CHESTERTON / OMER-DESLAURIERS",,  45.349153, -75.716336,,,0
SF220,6003,"CHESTERTON / VIEWMOUNT",,  45.349147, -75.716694,,,0
SF230,4057,"VIEWMOUNT / EUROPA",,  45.347980, -75.717182,,,0
SF240,4023,"VIEWMOUNT / EUROPA",,  45.347845, -75.717043,,,0
SF250,4058,"VIEWMOUNT / ONONDAGA",,  45.346846, -75.718435,,,0
SF260,4024,"VIEWMOUNT / ONONDAGA",,  45.346639, -75.718374,,,0
SF270,4059,"VIEWMOUNT / BISCAYNE",,  45.345463, -75.720088,,,0
SF280,6004,"VIEWMOUNT / BISCAYNE",,  45.345355, -75.720077,,,0
SF290,4060,"VIEWMOUNT / OVERLAKE",,  45.345043, -75.723220,,,0
SF296,0406,"VIEWMOUNT / GRANT CARMAN",,  45.345058, -75.726704,,,0
SF300,4020,"VIEWMOUNT / OVERLAKE",,  45.344920, -75.723592,,,0
SF305,4021,"VIEWMOUNT / GRANT CARMAN",,  45.345061, -75.725900,,,0
SF306,7265,"VIEWMOUNT / GRANT CARMAN",,  45.344896, -75.726680,,,0
SF320,6006,"VIEWMOUNT / MERIVALE",,  45.344152, -75.728477,,,0
SF330,2969,"VIEWMOUNT / MERIVALE",,  45.343676, -75.729989,,,0
SF340,2974,"VIEWMOUNT / MERIVALE",,  45.343524, -75.730119,,,0
SF350,6007,"VIEWMOUNT / GLENRIDGE",,  45.342740, -75.732630,,,0
SF360,6009,"VIEWMOUNT / GLENRIDGE",,  45.342490, -75.732889,,,0
